surname,firstname,ln.gross,yob,female,margin,school,local
Llewellyn,David,12.13590622,1916,0,0.056904044,Eton,0
Morris,Claud,12.44809055,1920,0,-0.049738325,Regular,0
Walker,George,12.42844963,1914,0,-0.041588679,Public,0
Walker,Harold,11.91845226,1927,0,0.02329524,Regular,0
Waring,John,13.52021885,1923,0,-0.230005816,Public,0
Brown,Ronald,12.46051502,1921,0,0.367970258,Regular,1
Pine,Leslie,11.98583603,1907,0,-0.072641052,Public,0
Pink,Bonner,11.6340313,1912,0,0.21294491,Public,0
Webster,Reginald,12.51625443,1905,0,-0.01446593,Regular,0
Ridley,Jasper,14.66086197,1920,0,-0.130096912,Regular,1
Underhill,Michael,12.55596924,1918,0,-0.054886274,Public,0
Roberts,Thomas,11.08812904,1915,0,-0.035208959,Regular,0
Roberts,Gwilym,11.86298656,1928,0,0.058464177,Regular,0
Roberts,Shelagh,13.69424057,1924,1,-0.301682472,Public,1
Roberts,Gordon,12.43200874,1921,0,-0.139704719,Regular,0
Coles,Gerald,11.46880245,1933,0,-0.07340128,Public,0
Grant,William,12.13590622,1909,0,0.121591456,Public,0
Grant,John,12.71802616,1932,0,0.234982327,Public,0
Rees,Robert,12.00744343,1911,0,-0.058776647,Regular,0
Cryer,Robert,12.47742271,1934,0,-0.098551802,Regular,0
Horne,Hampden,11.94882679,1903,0,-0.168305665,Public,1
Bidgood,John,12.78876209,1914,0,0.071530789,Public,0
Fidler,Michael,13.15902996,1916,0,0.056820601,Regular,1
Faulds,Andrew,12.44809055,1923,0,0.10295593,Regular,0
Greene,Royden,12.42844963,1917,0,-0.088293843,Public,0
McWhirter,Norris,15.03261662,1925,0,-0.033458475,Public,0
Bourne-Arton,Anthony,12.84560013,1913,0,0.088195361,Public,0
Baker,Wilfred,12.44809055,1920,0,0.21129857,Public,0
Baker,Douglas,11.37770844,1931,0,-0.097068436,Regular,0
Stone,Frank,11.83968353,1905,0,-0.155972794,Regular,1
Berkeley,Humphry,12.70203972,1926,0,0.153393641,Public,0
Lee,Edwin,12.25040054,1911,0,-0.293753356,Public,1
Dilks,John,12.84288406,1933,0,-0.188053504,Regular,0
Read,George,12.48967361,1937,0,-0.079581171,Public,0
Cowling,Maurice,12.59795475,1926,0,-0.160563737,Regular,0
Jenkin-Jones,Peter,14.22256851,1928,0,-0.038212713,Public,0
Irving,Sydney,12.31218815,1918,0,0.088085949,Public,1
Torney,Thomas,12.44373798,1915,0,0.043249868,Regular,0
Hindle,John,12.08924484,1920,0,-0.247255087,Regular,0
Tinn,James,12.42844963,1922,0,0.069758371,Regular,0
Davis,James,12.54927731,1928,0,-0.082747735,Public,0
Grundy,Colin,12.09625626,1926,0,-0.003313639,Regular,0
Goodwin,Harry,13.83508396,1909,0,-0.065891661,Public,0
Reeves,Kenneth,12.40266132,1932,0,-0.11689318,Regular,1
Ennals,John,12.73641682,1918,0,-0.053052835,Regular,0
Monks,Constance,11.83859825,1911,1,0.029819164,Regular,1
Normanton,Tom,12.18284035,1917,0,0.020451471,Regular,1
Clippingdale,Harold,12.1201086,1908,0,-0.191514865,Public,0
Pearson-Clarke,Anthony,12.14628029,1923,0,-0.139503628,Regular,0
Hurst,Eric,15.88568974,1914,0,-0.021468319,Regular,0
Havers,Michael,12.13590622,1923,0,0.235448435,Public,0
Williamson,Muriel,12.5872879,1904,1,-0.031723361,Regular,0
Bell,Brian,15.68696022,1921,0,-0.040410206,Regular,0
Bell,David,12.17262554,1926,0,-0.018391639,Public,0
Foord,John,11.99850845,1909,0,-0.011575436,Regular,0
Bradley,Thomas,13.25766373,1926,0,0.098769501,Regular,0
Lawn,William,11.30337048,1907,0,-0.084759995,Regular,0
Carter-Jones,Lewis,12.5811882,1920,0,0.146884412,Regular,0
Larrow,Dennis,11.34424496,1920,0,-0.094972491,Regular,0
Leach,Robin,14.89271545,1938,0,-0.220049113,Public,0
