"","female","married","worried_corona","inc_low","edu_high","foreign_born","inactive_worker","rent","age","far_right"
"1",1,1,4,0,1,0,0,1,52,73
"2",1,0,2,0,0,0,0,0,65,9
"3",1,1,3,1,0,0,1,1,35,0
"4",1,0,2,0,1,1,0,0,61,0
"5",1,0,2,0,1,0,0,0,29,18
"6",1,0,4,0,1,0,0,0,57,NA
"7",1,1,2,0,0,0,0,0,40,73
"8",1,0,3,1,0,0,1,1,52,NA
"9",0,1,4,1,0,0,1,0,59,64
"10",1,1,3,0,1,0,0,0,39,0
"11",1,0,3,1,0,0,0,1,58,82
"12",0,0,2,1,0,0,0,1,58,45
"13",0,1,3,1,1,0,0,1,28,0
"14",1,1,3,0,0,0,0,0,52,9
"15",0,0,2,1,0,0,1,0,63,0
"16",1,1,2,0,0,0,0,0,42,0
"17",1,0,2,1,0,0,1,1,48,45
"18",0,1,2,0,1,0,1,0,57,0
"19",1,0,4,1,0,0,1,0,59,64
"20",1,0,3,1,0,0,0,0,51,27
"21",1,0,4,1,1,0,1,1,64,55
"22",1,1,2,1,0,0,1,0,42,9
"23",1,1,2,0,0,0,0,1,58,18
"24",1,1,3,0,1,0,1,0,76,64
"25",1,1,4,0,1,0,0,1,26,0
"26",1,0,3,0,1,0,1,0,49,0
"27",1,0,3,0,0,0,1,0,66,9
"28",0,1,4,0,1,0,1,1,70,45
"29",1,0,4,1,1,0,1,0,45,64
"30",1,1,3,0,0,1,1,0,73,9
"31",1,0,4,0,1,0,1,0,76,18
"32",1,0,4,0,1,0,0,0,48,27
"33",0,1,3,0,1,0,1,0,68,0
"34",0,0,4,1,1,0,0,1,49,0
"35",0,1,1,1,0,0,0,1,39,0
"36",0,1,2,1,0,0,1,1,66,9
"37",1,1,3,0,1,1,0,1,49,0
"38",1,1,2,0,0,0,0,0,35,64
"39",0,1,2,0,1,0,0,0,36,45
"40",1,0,2,1,1,0,1,0,37,0
"41",0,0,4,0,1,0,0,0,41,9
"42",1,0,1,1,1,0,0,1,53,9
"43",1,1,4,0,1,0,0,0,31,0
"44",0,1,2,0,0,0,0,0,26,0
"45",1,1,4,0,1,0,0,0,44,0
"46",0,0,4,0,1,0,0,1,42,36
"47",0,1,2,0,1,0,0,0,44,82
"48",1,1,3,0,0,0,1,0,76,45
"49",0,0,2,0,1,1,0,0,54,91
"50",1,1,2,0,0,0,0,0,58,27
"51",1,0,3,1,1,0,0,0,44,0
"52",1,0,3,0,1,0,0,0,53,0
"53",1,0,1,0,1,0,0,0,41,0
"54",1,0,1,0,1,0,0,1,40,NA
"55",1,1,2,0,1,0,0,0,36,0
"56",0,0,4,1,0,0,1,1,69,73
"57",0,0,3,0,1,0,0,0,44,0
"58",1,1,2,0,1,0,1,0,47,45
"59",0,0,3,0,1,0,0,1,64,0
"60",1,0,3,0,0,0,0,1,52,27
"61",0,1,3,0,1,0,0,0,53,0
"62",0,0,3,1,1,0,1,1,40,45
"63",0,1,3,0,1,0,0,0,35,0
"64",0,0,3,0,0,0,1,1,68,0
"65",1,0,4,0,1,0,0,0,56,0
"66",0,1,4,0,0,0,1,0,75,0
"67",1,0,4,1,0,0,1,0,50,55
"68",1,1,2,0,1,0,0,0,37,18
"69",1,1,3,1,1,0,1,1,58,73
"70",1,0,2,1,1,0,0,0,47,73
"71",1,0,3,0,1,0,0,0,46,27
"72",1,0,3,0,0,0,1,0,57,18
"73",0,1,3,0,1,0,0,0,50,0
"74",0,0,2,0,1,0,0,1,35,0
"75",0,0,2,0,1,1,1,1,68,36
"76",1,0,2,1,0,0,1,0,49,NA
"77",0,1,3,0,1,0,0,0,50,0
"78",1,1,3,0,1,0,0,0,42,27
"79",1,0,2,0,1,0,0,0,48,0
"80",1,0,3,0,1,0,0,0,46,0
"81",1,1,2,1,1,0,0,0,56,0
"82",1,1,4,1,1,1,1,1,45,NA
"83",1,1,2,0,1,0,0,0,37,0
"84",0,1,3,0,0,0,1,0,67,0
"85",0,1,4,0,0,1,0,1,48,0
"86",0,1,3,0,1,0,1,0,68,36
"87",1,0,3,0,1,0,0,1,29,55
"88",1,0,1,1,1,0,1,0,23,0
"89",1,0,2,1,1,0,1,0,21,NA
"90",1,0,3,0,1,0,1,1,73,9
"91",0,0,3,0,1,0,0,1,23,45
"92",0,0,3,0,1,0,0,0,53,0
"93",1,1,3,0,1,0,0,0,48,0
"94",1,0,2,0,0,0,0,0,44,0
"95",0,1,2,0,1,1,0,1,34,45
"96",1,1,3,0,0,0,0,0,32,55
"97",1,1,2,0,1,0,0,0,52,18
"98",1,0,4,1,1,0,1,0,51,73
"99",0,0,1,1,1,0,1,1,66,91
"100",1,0,4,0,0,0,0,1,59,0
"101",1,1,4,0,1,0,0,0,40,NA
