"","female","married","edu_high","inc_high","professional","attend_service","perceived_diversity","worried_corona","foreign_born","econ_bad","imm_contact","rally","age"
"1",1,1,1,0,0,2,72,4,0,3,0.6,72.7272727272727,52
"2",1,0,0,0,0,2,NA,2,0,2,0.4,9.09090909090909,65
"3",1,1,0,0,0,2,24,3,0,3,0.8,0,35
"4",1,0,1,0,1,1,16,2,1,3,0.8,0,61
"5",1,0,1,1,0,1,26,2,0,2,0.8,18.1818181818182,29
"6",1,0,1,0,0,NA,48,4,0,2,0.4,NA,57
"7",1,1,0,1,0,1,10,2,0,2,0.2,72.7272727272727,40
"8",1,0,0,0,0,1,42,3,0,2,0,NA,52
"9",0,1,0,0,0,3,15,4,0,3,0.2,63.6363636363636,59
"10",1,1,1,0,0,1,28,3,0,2,0.4,0,39
"11",1,0,0,0,0,5,61,3,0,2,0.2,81.8181818181818,58
"12",0,0,0,0,0,1,3,2,0,2,0.2,45.4545454545455,58
"13",0,1,1,0,0,NA,24,3,0,2,0.8,0,28
"14",1,1,0,0,0,1,18,3,0,2,0.4,9.09090909090909,52
"15",0,0,0,0,0,1,16,2,0,2,0.8,0,63
"16",1,1,0,1,0,1,5,2,0,2,0.4,0,42
"17",1,0,0,0,0,1,24,2,0,2,0.2,45.4545454545455,48
"18",0,1,1,1,0,1,20,2,0,2,0.6,0,57
"19",1,0,0,0,0,2,24,4,0,NA,0.2,63.6363636363636,59
"20",1,0,1,0,0,2,50,4,0,2,1,54.5454545454545,64
"21",1,1,0,0,0,1,31,2,0,2,1,9.09090909090909,42
"22",1,1,0,1,0,1,38,2,0,2,0.6,18.1818181818182,58
"23",1,1,1,1,0,2,39,3,0,2,0.2,63.6363636363636,76
"24",1,1,1,1,0,1,14,4,0,1,0.2,0,26
"25",1,0,1,1,0,1,40,3,0,2,0.2,0,49
"26",1,0,0,0,0,2,11,3,0,2,0.4,9.09090909090909,66
"27",0,1,1,1,0,3,25,4,0,2,0.6,45.4545454545455,70
"28",1,0,1,0,0,2,40,4,0,3,0,63.6363636363636,45
"29",1,1,0,0,0,2,NA,3,1,2,0.6,9.09090909090909,73
"30",1,0,1,0,0,3,32,4,0,2,0.8,18.1818181818182,76
"31",1,0,1,0,1,1,31,4,0,2,0.6,27.2727272727273,48
"32",0,1,1,0,0,1,3,3,0,2,0.6,0,68
"33",0,1,0,0,0,1,7,1,0,3,0.8,0,39
"34",0,1,0,0,0,1,40,2,0,3,0.4,9.09090909090909,66
"35",1,1,1,1,0,2,99,3,1,2,0.8,0,49
"36",1,1,0,0,0,2,62,2,0,NA,0.2,63.6363636363636,35
"37",1,0,1,0,0,1,12,2,0,2,0.8,0,37
"38",0,0,1,1,0,1,15,4,0,NA,0.8,9.09090909090909,41
"39",1,0,1,0,0,5,58,1,0,1,1,9.09090909090909,53
"40",1,1,1,1,0,2,15,4,0,3,0.8,0,31
"41",0,1,0,1,0,1,30,2,0,1,0.8,0,26
"42",1,1,1,1,0,2,15,4,0,2,0.2,0,44
"43",0,0,1,0,0,1,32,4,0,2,0,36.3636363636364,42
"44",0,1,1,0,0,1,5,2,0,3,0.4,81.8181818181818,44
"45",1,1,0,0,0,2,30,3,0,2,0.2,45.4545454545455,76
"46",0,0,1,0,1,1,NA,2,1,2,0.8,90.9090909090909,54
"47",1,1,0,1,0,2,20,2,0,2,0.8,27.2727272727273,58
"48",1,0,1,0,1,2,17,3,0,2,1,0,44
"49",1,0,1,1,0,2,10,3,0,2,0.6,0,53
"50",1,0,1,1,1,1,2,1,0,2,0,0,41
"51",1,0,1,1,1,1,37,1,0,3,0,NA,40
"52",1,1,1,1,0,3,21,2,0,2,0.6,0,36
"53",0,0,0,0,0,2,23,4,0,2,0.4,72.7272727272727,69
"54",0,0,1,0,1,1,15,3,0,2,0.4,0,44
"55",1,1,1,0,0,5,16,2,0,2,0.6,45.4545454545455,47
"56",0,0,1,0,0,1,20,3,0,3,0.2,0,64
"57",1,0,0,1,0,2,21,3,0,2,0.4,27.2727272727273,52
"58",0,1,1,1,0,1,31,3,0,2,0.2,0,53
